condition,recognition,dreams,primitives,iteration,tasks_solved,programs_enumerated,recognition_loss,iteration_time
gru_balanced_lean,gru,balanced,lean,1,2,34515,4.1510978698730465,105.82902693748474
gru_balanced_lean,gru,balanced,lean,2,2,30374,4.039970397949219,120.58442807197571
gru_balanced_lean,gru,balanced,lean,3,2,26753,3.7552133083343504,137.97807097434998
gru_balanced_lean,gru,balanced,lean,4,2,25881,2.52150502204895,152.7553358078003
gru_balanced_lean,gru,balanced,lean,5,2,25495,0.6737539291381835,171.13809204101562
gru_balanced_lean_plus_fold,gru,balanced,lean_plus_fold,1,4,58622,4.307084751129151,114.89914107322693
gru_balanced_lean_plus_fold,gru,balanced,lean_plus_fold,2,4,39668,4.244247913360596,129.26971220970154
gru_balanced_lean_plus_fold,gru,balanced,lean_plus_fold,3,4,30856,4.111483860015869,142.4576337337494
gru_balanced_lean_plus_fold,gru,balanced,lean_plus_fold,4,4,18512,3.592116117477417,159.4699091911316
gru_balanced_lean_plus_fold,gru,balanced,lean_plus_fold,5,4,17521,2.399124526977539,177.4925000667572
gru_balanced_minimal,gru,balanced,minimal,1,4,100520,3.961623764038086,107.46610617637634
gru_balanced_minimal,gru,balanced,minimal,2,4,64560,3.864417552947998,120.42851305007935
gru_balanced_minimal,gru,balanced,minimal,3,4,58823,3.6502992630004885,136.28579306602478
gru_balanced_minimal,gru,balanced,minimal,4,4,50757,2.804099702835083,154.51894521713257
gru_balanced_minimal,gru,balanced,minimal,5,4,40720,1.3521002531051636,171.7517008781433
gru_contrastive_lean,gru,contrastive,lean,1,3,38800,4.248624801635742,85.73192310333252
gru_contrastive_lean,gru,contrastive,lean,2,3,32233,4.154726028442383,99.25084090232849
gru_contrastive_lean,gru,contrastive,lean,3,3,28409,3.888154458999634,114.5693507194519
gru_contrastive_lean,gru,contrastive,lean,4,3,27037,2.737053155899048,129.19260120391846
gru_contrastive_lean,gru,contrastive,lean,5,3,26889,0.7603139996528625,145.35189175605774
gru_standard_lean,gru,standard,lean,1,2,42415,4.197956657409668,66.73697900772095
gru_standard_lean,gru,standard,lean,2,2,33396,4.098066616058349,80.8283588886261
gru_standard_lean,gru,standard,lean,3,2,28551,3.8050133228302,96.1790828704834
gru_standard_lean,gru,standard,lean,4,2,27659,2.6552138805389403,112.41072201728821
gru_standard_lean,gru,standard,lean,5,2,27145,0.8116548180580139,130.42247986793518
gru_standard_lean_plus_fold,gru,standard,lean_plus_fold,1,4,62701,4.396408367156982,68.96094012260437
gru_standard_lean_plus_fold,gru,standard,lean_plus_fold,2,4,40196,4.319163513183594,90.66344714164734
gru_standard_lean_plus_fold,gru,standard,lean_plus_fold,3,4,31421,4.13958101272583,108.08855700492859
gru_standard_lean_plus_fold,gru,standard,lean_plus_fold,4,4,18583,3.428443956375122,121.8488199710846
gru_standard_lean_plus_fold,gru,standard,lean_plus_fold,5,4,17521,2.0911033391952514,141.08650183677673
gru_standard_minimal,gru,standard,minimal,1,3,139525,4.01525616645813,64.50344800949097
gru_standard_minimal,gru,standard,minimal,2,3,73884,3.9292579174041746,79.87381982803345
gru_standard_minimal,gru,standard,minimal,3,3,63644,3.7677595138549806,96.59096121788025
gru_standard_minimal,gru,standard,minimal,4,3,60601,3.0757333278656005,115.72282004356384
gru_standard_minimal,gru,standard,minimal,5,3,51260,1.3028600215911865,132.9229929447174
