program,cost,dl_bits,base_rate,base_rate_pct,base_rate_se,n_valid
(λ not (has_suit $0 CLUBS)),12.0384,17.3678,0.166,16.6,0.003721,10000
(λ not (has_suit $0 DIAMONDS)),12.0384,17.3678,0.1603,16.03,0.003669,10000
(λ not (has_suit $0 HEARTS)),12.0384,17.3678,0.1604,16.04,0.00367,10000
(λ not (has_suit $0 SPADES)),12.0384,17.3678,0.1633,16.33,0.003696,10000
(λ lt 3 (n_unique_suits $0)),13.3069,19.1978,0.4197,41.97,0.004935,10000
(λ lt 3 (min_rank $0)),13.3069,19.1978,0.3468,34.68,0.00476,10000
(λ lt 4 (min_rank $0)),13.3069,19.1978,0.1913,19.13,0.003933,10000
(λ lt 5 (n_unique_ranks $0)),13.3069,19.1978,0.3536,35.36,0.004781,10000
(λ lt 5 (min_rank $0)),13.3069,19.1978,0.0988,9.88,0.002984,10000
(λ lt (n_unique_suits $0) 3),13.3069,19.1978,0.0696,6.96,0.002545,10000
(λ lt (n_unique_ranks $0) 5),13.3069,19.1978,0.1733,17.33,0.003785,10000
(λ lt (min_rank $0) 3),13.3069,19.1978,0.3953,39.53,0.004889,10000
(λ has_color (first_half (first_half $0)) RED),13.8665,20.0052,0.4969,49.69,0.005,10000
(λ has_color (first_half (second_half $0)) BLACK),13.8665,20.0052,0.4997,49.97,0.005,10000
(λ has_suit (first_half (first_half $0)) CLUBS),14.1179,20.3678,0.2515,25.15,0.004339,10000
(λ has_suit (first_half (first_half $0)) DIAMONDS),14.1179,20.3678,0.2458,24.58,0.004306,10000
(λ has_suit (first_half (first_half $0)) HEARTS),14.1179,20.3678,0.2511,25.11,0.004336,10000
(λ has_suit (first_half (first_half $0)) SPADES),14.1179,20.3678,0.2516,25.16,0.004339,10000
(λ has_suit (first_half (second_half $0)) CLUBS),14.1179,20.3678,0.2518,25.18,0.00434,10000
(λ has_suit (first_half (second_half $0)) DIAMONDS),14.1179,20.3678,0.2498,24.98,0.004329,10000
(λ has_suit (first_half (second_half $0)) HEARTS),14.1179,20.3678,0.2505,25.05,0.004333,10000
(λ has_suit (first_half (second_half $0)) SPADES),14.1179,20.3678,0.2479,24.79,0.004318,10000
(λ has_suit (second_half (first_half $0)) CLUBS),14.1179,20.3678,0.4415,44.15,0.004966,10000
(λ has_suit (second_half (first_half $0)) DIAMONDS),14.1179,20.3678,0.4385,43.85,0.004962,10000
(λ has_suit (second_half (first_half $0)) HEARTS),14.1179,20.3678,0.4374,43.74,0.004961,10000
(λ has_suit (second_half (first_half $0)) SPADES),14.1179,20.3678,0.4427,44.27,0.004967,10000
(λ has_suit (second_half (second_half $0)) CLUBS),14.1179,20.3678,0.434,43.4,0.004956,10000
(λ has_suit (second_half (second_half $0)) DIAMONDS),14.1179,20.3678,0.4449,44.49,0.00497,10000
(λ has_suit (second_half (second_half $0)) HEARTS),14.1179,20.3678,0.4456,44.56,0.00497,10000
(λ has_suit (second_half (second_half $0)) SPADES),14.1179,20.3678,0.4395,43.95,0.004963,10000
(λ has_suit (head (adjacent_pairs $0)) CLUBS),14.1979,20.4832,0.4425,44.25,0.004967,10000
(λ has_suit (head (adjacent_pairs $0)) DIAMONDS),14.1979,20.4832,0.4331,43.31,0.004955,10000
(λ has_suit (head (adjacent_pairs $0)) HEARTS),14.1979,20.4832,0.4456,44.56,0.00497,10000
(λ has_suit (head (adjacent_pairs $0)) SPADES),14.1979,20.4832,0.444,44.4,0.004969,10000
(λ not (has_color (first_half $0) RED)),14.272,20.5901,0.1178,11.78,0.003224,10000
(λ not (has_color (first_half $0) BLACK)),14.272,20.5901,0.1122,11.22,0.003156,10000
(λ not (has_color (second_half $0) RED)),14.272,20.5901,0.1121,11.21,0.003155,10000
(λ not (has_color (second_half $0) BLACK)),14.272,20.5901,0.1199,11.99,0.003248,10000
(λ not (has_suit (first_half $0) CLUBS)),14.5233,20.9527,0.4125,41.25,0.004923,10000
(λ not (has_suit (first_half $0) DIAMONDS)),14.5233,20.9527,0.4165,41.65,0.00493,10000
(λ not (has_suit (first_half $0) HEARTS)),14.5233,20.9527,0.4117,41.17,0.004921,10000
(λ not (has_suit (first_half $0) SPADES)),14.5233,20.9527,0.4102,41.02,0.004919,10000
(λ not (has_suit (second_half $0) CLUBS)),14.5233,20.9527,0.4201,42.01,0.004936,10000
(λ not (has_suit (second_half $0) DIAMONDS)),14.5233,20.9527,0.4089,40.89,0.004916,10000
(λ not (has_suit (second_half $0) HEARTS)),14.5233,20.9527,0.4145,41.45,0.004926,10000
(λ not (has_suit (second_half $0) SPADES)),14.5233,20.9527,0.4183,41.83,0.004933,10000
