id,family,base_rate,base_rate_pct,base_rate_se,template,description
Halves_both_has_pair_ranks,HALVES_PROPERTY,0.03006,3.01,0.000764,λh. has_pair_ranks(L(h)) ∧ has_pair_ranks(R(h)),Both halves satisfy has_pair_ranks
adj_alt_color,ADJACENT,0.03368,3.37,0.000807,"λh. ∀i. alt_color(h[i], h[i+1])",Every pair at offset 1 satisfies alt_color
Palindrome_mod3,PALINDROME,0.0337,3.37,0.000807,"λh. map(mod3, h) = reverse(map(mod3, h))",The sequence of mod3 values is a palindrome
Halves_copy_mod3,HALVES_COPY,0.03486,3.49,0.00082,"λh. map(mod3, L(h)) = map(mod3, R(h))",Right half copies left half in mod3
adj_same_rank_or_color,ADJACENT,0.03524,3.52,0.000825,"λh. ∀i. same_rank_or_color(h[i], h[i+1])",Every pair at offset 1 satisfies same_rank_or_color
Halves_both_is_sorted_asc,HALVES_PROPERTY,0.0384,3.84,0.000859,λh. is_sorted_asc(L(h)) ∧ is_sorted_asc(R(h)),Both halves satisfy is_sorted_asc
rank_range_le_5,GLOBAL,0.03848,3.85,0.00086,λh. max_rank(h) - min_rank(h) ≤ 5,Rank range (max - min) is at most 5
skip2_rank_nondec,ADJACENT,0.04022,4.02,0.000879,"λh. ∀i. rank_nondec(h[i], h[i+2])",Every pair at offset 2 satisfies rank_nondec
shift_2_rank_ge,SHIFT,0.0404,4.04,0.000881,"λh. ∀i. rank_ge(h[i], h[i+2])",At offset 2: rank_ge
count_high_cards_eq_0,COUNT,0.04588,4.59,0.000936,λh. count(high_cards) eq 0,Number of high_cards is eq 0
skip2_same_color,ADJACENT,0.05456,5.46,0.001016,"λh. ∀i. same_color(h[i], h[i+2])",Every pair at offset 2 satisfies same_color
shift_2_same_color,SHIFT,0.05606,5.61,0.001029,"λh. ∀i. same_color(h[i], h[i+2])",At offset 2: same_color
Ends_same_rank_val,ENDS,0.05664,5.66,0.001034,λh. rank_val(first(h)) = rank_val(last(h)),First and last cards have the same rank_val
count_aces_eq_2,COUNT,0.05784,5.78,0.001044,λh. count(aces) eq 2,Number of aces is eq 2
count_even_ranks_eq_1,COUNT,0.05788,5.79,0.001044,λh. count(even_ranks) eq 1,Number of even_ranks is eq 1
Ends_same_rank,ENDS,0.0586,5.86,0.00105,λh. rank(first(h)) = rank(last(h)),First and last cards have the same rank
count_aces_ge_2,COUNT,0.05902,5.9,0.001054,λh. count(aces) ge 2,Number of aces is ge 2
skip2_same_parity,ADJACENT,0.05962,5.96,0.001059,"λh. ∀i. same_parity(h[i], h[i+2])",Every pair at offset 2 satisfies same_parity
adj_rank_diff_le4,ADJACENT,0.06352,6.35,0.001091,"λh. ∀i. rank_diff_le4(h[i], h[i+1])",Every pair at offset 1 satisfies rank_diff_le4
skip2_alt_color,ADJACENT,0.0663,6.63,0.001113,"λh. ∀i. alt_color(h[i], h[i+2])",Every pair at offset 2 satisfies alt_color
unique_suits_eq_2,COUNT,0.06666,6.67,0.001115,λh. unique_suits(h) eq 2,Number of unique_suits is eq 2
unique_suits_le_2,COUNT,0.06758,6.76,0.001123,λh. unique_suits(h) le 2,Number of unique_suits is le 2
skip2_same_rank_or_color,ADJACENT,0.07582,7.58,0.001184,"λh. ∀i. same_rank_or_color(h[i], h[i+2])",Every pair at offset 2 satisfies same_rank_or_color
Halves_same_set_suit,HALVES_COPY,0.07924,7.92,0.001208,"λh. set(map(suit, L(h))) = set(map(suit, R(h)))",Both halves contain the same set of suit values
rank_range_le_6,GLOBAL,0.08942,8.94,0.001276,λh. max_rank(h) - min_rank(h) ≤ 6,Rank range (max - min) is at most 6
sum_ranks_ge_60,GLOBAL,0.09756,9.76,0.001327,λh. sum_ranks(h) ≥ 60,Sum of rank values is at least 60
shift_3_rank_gt,SHIFT,0.10328,10.33,0.001361,"λh. ∀i. rank_gt(h[i], h[i+3])",At offset 3: rank_gt
shift_half_rank_gt,SHIFT,0.10378,10.38,0.001364,"λh. ∀i. rank_gt(h[i], h[i+half])",At offset half: rank_gt
count_face_cards_eq_3,COUNT,0.10626,10.63,0.001378,λh. count(face_cards) eq 3,Number of face_cards is eq 3
